,0
ADDICTIONS CENTRE (HASTINGS / PRINCE EDWARD COUNTIES) INC,ADDICTIONS CENTRE (HASTINGS/PRINCE EDWARD COUNTIES) INC
ADDICTIONS CENTRE HASTINGS/PRINCE EDWARD COUNTIES INC,ADDICTIONS CENTRE (HASTINGS/PRINCE EDWARD COUNTIES) INC
ONT ASSOCIATION OF CHILDREN'S AID SOCIETIES,ONT ASSOCIATION'N OF CHILDREN'S AID SOCIETIES
ONT ASSOCIATION OF CHILDREN'S AID SOCIETY,ONT ASSOCIATION'N OF CHILDREN'S AID SOCIETIES
ENVIRONMENTAL COMMISSIONER / COMMISSAIRE À L'ENVIRONNEMENT,ENVIRONMENTAL COMMISSIONER / COMMISSAIRE Ã L'ENVIRONNEMENT
HIV AND AIDS LEGAL CLINIC ONTARIO,HIV AND AIDS LEGAL CLINIC (ONTARIO)
BENEVOLENT SOCIETY HEIDEHOF FOR THE CARE OF THE AGED,THE BENEVOLENT SOCIETY HEIDEHOF FOR THE CARE OF THE AGED
NISHNAWBE ASKI LEGAL SERVICES CORPORATION,NISHNAWBEASKI LEGAL SERVICES CORPORATION
SOUTHWEST CENTRE FOR COMMUNITY PROGRAMME DEVELOPMENT,SOUTH WEST CENTRE FOR COMMUNITY PROGRAMME DEVELOPMENT
SOUTH WEST CENTRE FOR COMMUNITY PROGRAM DEVELOPMENT,SOUTH WEST CENTRE FOR COMMUNITY PROGRAMME DEVELOPMENT
SOUTHWEST CENTRE FOR COMMUNITY PROGRAM DEVELOPMENT,SOUTH WEST CENTRE FOR COMMUNITY PROGRAMME DEVELOPMENT
NIAGARA CHILDRENS CENTRE,NIAGARA CHILDREN'S CENTRE
THE SOCIAL SERVICE BUREAU OF SARNIALAMBTON INCORPORATED INC,THE SOCIAL SERVICE BUREAU OF SARNIALAMBTON INCORPORATED
SOCIAL SERVICE BUREAU OF SARNIA LAMBTON INCORPORATED,THE SOCIAL SERVICE BUREAU OF SARNIALAMBTON INCORPORATED
THE SOCIAL SERVICE BUREAU OF SARNIALAMBTON INC,THE SOCIAL SERVICE BUREAU OF SARNIALAMBTON INCORPORATED
THE MICHENER INST FOR APPLIED HEALTH SCI,THE MICHENER INST FOR APPLIED HEALTH SERVICES
THE JOHN HOWARD SOCIETY OF WATERLOOWELLINGTON,JOHN HOWARD SOCIETY OF WATERLOOWELLINGTON
E3 (EDUCATE ENABLE EMPOWER) COMMUNITY SERVICES,E3 (EDUCATE ENABLE EMPOWER) COMMUNITY SERVICES INC
ONT CIVILIAN COMMISSION ON POLICE SERVICES,ONT CIVILIAN COMM ON POLICE SERVICES
ONTARIO ASSOCIATION OF CHILDREN'S REHABILITATION SERVICES,ONTARIO ASSOCIATION OF CHILDRENS REHABILITATION SERVICES (OACRS)
NORTH KINGSTON COMM HEALTH CENTRE,NORTH KINGSTON COMMUNITY HEALTH CENTRE
WATERLOO REGIONAL HOMES FOR MENTAL HEALTH,WATERLOO REGIONAL HOMES FOR MENTAL HEALTH INC
SAFETY LICENSING APPEALS AND STANDARDS TRIBUNALS ONTARIO / ANIMAL CARE REVIEW BOARD /FIRE SAFETY COMMISSION / LICENCE APPEAL TRIBUNAL/ONTARIO CIVILIAN POLICE COMMISSION / ONTARIO PAROLE BOARD,SAFETY LICENSING APPEALS AND STANDARDS TRIBUNALS ONTARIO / ANIMAL CARE REVIEW BOARD /FIRE SAFETY COMMISSION / LICENCE APPEAL TRIBUNAL/ ONTARIO CIVILIAN POLICE COMMISSION / ONTARIO PAROLE BOARD
SAFETY LICENSING APPEALS AND STANDARDS TRIBUNALS ONTARIO / ANIMAL CARE REVIEW BOARD / FIRE SAFETY COMMISSION / LICENCE APPEAL TRIBUNAL / ONTARIO CIVILIAN POLICE COMMISSION / ONTARIO PAROLE BOARD,SAFETY LICENSING APPEALS AND STANDARDS TRIBUNALS ONTARIO / ANIMAL CARE REVIEW BOARD /FIRE SAFETY COMMISSION / LICENCE APPEAL TRIBUNAL/ ONTARIO CIVILIAN POLICE COMMISSION / ONTARIO PAROLE BOARD
E3 COMMUNITY SERVICES,E3 COMMUNITY SERVICES INC
CREST SUPPORT SERVICES (MEADOWCREST),CREST SUPPORT SERVICES (MEADOWCREST) INC
DURHAM REGION NONPROFIT HOUSING CORPORATION,DURHAM REGION NON PROFIT HOUSING CORPORATION
DURHAM REGIONAL NONPROFIT HOUSING CORPORATION,DURHAM REGION NON PROFIT HOUSING CORPORATION
DURHAM REG NONPROF HOUSING CORPORATION,DURHAM REGION NON PROFIT HOUSING CORPORATION
CATHOLIC CENTRE FOR IMMIGRANTS OTTAWA,CATHOLIC CENTRE FOR IMMIGRANTS
KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES A L'ENFANCE ET A LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER,KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES Ã L'ENFANCE ET Ã LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER
KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES À L' ENFANCE ET À LA FAMILLE DES DISTRICTS DE KENORA ET RAINY RIVER,KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES Ã L'ENFANCE ET Ã LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER
KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES A L' ENFANCE ET A LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER,KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES Ã L'ENFANCE ET Ã LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER
KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES À L'ENFANCE ET À LA FAMILLE DES DISTRICTS DE KENORA ET RAINY RIVER,KENORARAINY RIVER DISTRICTS CHILD AND FAMILY SERVICES / SERVICES Ã L'ENFANCE ET Ã LA FAMILLE DES DISTRICTS DES KENORA ET RAINY RIVER
SANDWICH COMMUNITY HEALTH CENTRE INC,SANDWICH COMM HEALTH CENTRE INC
MANITOUWADGE GENERAL HOSPITAL / HÔPITAL GÉNÉRAL DE MANITOUWADGE,MANITOUWADGE GENERAL HOSPITAL / HÃ´PITAL GÃ©NÃ©RAL DE MANITOUWADGE
AFFILIATED SERVICES FOR CHILDREN AND YOUTH,AFFILIATED SERVICES FOR CHILDREN AND YOUTH INC
CHILD AND COMMUNITY RESOURCES / RESSOURCES POUR L'ENFANCE ET LA COMMUNAUTÃ©,CHILD AND COMMUNITY RESOURCES / RESOURCES POUR L'ENFANCE ET LA COMMUNAUTÃ©
HIGHER EDUCATION QUALITY COUNCIL OF ONTARIO / CONSEIL ONTARIEN DE LA QUALITÃ© DE L'ENSEIGNEMENT SUPÃ©RIEUR?,HIGHER EDUCATION QUALITY COUNCIL OF ONTARIO / CONSEIL ONTARIEN DE LA QUALITÉ DE L'ENSEIGNEMENT SUPÉRIEUR
HALTON ALCOHOL DRUG AND GAMBLING ASSESSMENT PREVENTION AND TREATMENT,HALTON ALCOHOL DRUG AND GAMBLING ASSESS PREVEN AND TRTMT
HANDS THEFAMILYHELPNETWORKCA / LERESEAUDAIDEAUXFAMILIESCA,HANDS THEFAMILYHELPNETWORKCA/LERESEAUDAIDEAUXFAMILIESCA
HANDS THEFAMILYHELPNETWORKCA / LERESEAUDAIDEAUXFAMILLESCA,HANDS THEFAMILYHELPNETWORKCA/LERESEAUDAIDEAUXFAMILIESCA
NORTH PEEL FAMILY HEALTH TEAM,NORTH PERTH FAMILY HEALTH TEAM
ONTARIO PAROLE BOARD / COMMISSION ONTARIENNE DES LIBÃ©RATIONS CONDITIONNELLES,ONTARIO PAROLE BOARD / COMMISSION ONTARIENNE DES LIBÉRATIONS CONDITIONNELLES
ENGLEHART AND DISTRICT HOSPITAL INC / HÔPITAL D'ENGLEHART ET DU DISTRICT,ENGLEHART AND DISTRICT HOSPITAL INC / HÃ´PITAL D'ENGLEHART ET DU DISTRICT
CITY OF LONDON CONVENTION CENTRE,CITY OF LONDON LONDON CONVENTION CENTRE
ST JOHN´S REHABILITATION,ST JOHN'S REHABILITATION
TOURISM INDUSTRY ASSOCIATION OF ONTARIO (TIAO),TOURISM INDUSTRY ASSOCIATION OF ONTARIO
CASSELLHOLME,CASSELLHOME
MILLS COMMUNITY SUPPORT CORPORATION INC,MILLS COMMUNITY SUPPORT CORPORATION
CANADIAN ELEVATOR INDUSTRY EDUCATIONAL PROGRAM,CANADIAN ELEVATOR INDUSTRY EDUCATIONAL PROGRAM (CEIEP)
HEALTH BOARDS SECRETARIAT / SECRÃ©TARIAT DES CONSEILS DE SANTÃ©,HEALTH BOARD SECRETARIAT / SECRÉTARIAT DES CONSEILS DE SANTÉ
HALTON CCAC,HAMILTON CCAC
LAKESHORE AREA MULTISERVICE PROJ,LAKESHORE AREA MULTISERVICE PROJECT
LAKESHORE AREA MULTISERVICE PROJECT CHC,LAKESHORE AREA MULTISERVICE PROJECT
ST JOSEPH'S HOSPITAL AND HOME,ST JOSEPH'S HOSPITAL AND HOMEGUELPH
ST JOSEPH S HOSPITAL AND HOME,ST JOSEPH'S HOSPITAL AND HOMEGUELPH
PORTAGE MEDICAL FAMILY HEALTH TEAM,DORVAL MEDICAL FAMILY HEALTH TEAM
CHILD CARE RESOURCES/RESSOURCES SUR LA GARDE D'ENFANTS,CHILD CARE RESOURCES / RESSOURCES SUR LA GARDE D'ENFANTS
CCAC CHATHAM/KENT AND SARNIALAMBTON,CCAC CHATHAMKENT AND SARNIALAMBTON
CANADIAN MENTAL HEALTH ASSOCIATION CHAMPLAIN EAS,CANADIAN MENTAL HEALTH ASSOCIATION CHAMPLAIN EAST
LAWRENCE HEIGHTS CHS,LAWRENCE HEIGHTS CHC
VICTIM SERVICE TORONTO,VICTIM SERVICES TORONTO
WEE CHIITTHEWIN FAMILY SERVICES INC,WEECHIITTEWIN FAMILY SERVICES INC
PEEL ADDICTION ASSESSMENT AND REFERRAL CENTRE,THE PEEL ADDICTION ASSESSMENT AND REFERRAL CENTRE
WALKERTON CLEAN WATER CENTRE / CENTRE DE WALKERTON POUR L'ASSAINISSEMENT DE L'EAU,WALKERTON CLEAN WATER CENTRE / CENTRE DE WALKERTON POUR LÂ''ASSAINISSEMENT DE LÂ''EAU
NORWEST CHC,NORWEST CHCS
ALGONQUIN OPPORTUNITY (NO2) CORPORATION,ALGONQUIN OPPORTUNITY (NO 2) CORPORATION
COMMUNITY LIVING WALLACEBURG / INTÉGRATION COMMUNAUTAIRE WALLACEBURG,COMMUNITY LIVING WALLACEBURG / INTEGRATION COMMUNAUTAIRE WALLACEBURG
COMMUNITY LIVING WALLACEBURG / INTÃ©GRATION COMMUNAUTAIRE WALLACEBURG,COMMUNITY LIVING WALLACEBURG / INTEGRATION COMMUNAUTAIRE WALLACEBURG
TRAVERSE INDEPENDENCE NOT FOR PROFIT,TRAVERSE INDEPENDENCE NOTFORPROFIT
NORTHERN ONTARIO REGIONAL TOURISM ORGANIZATION (RTO),NORTHERN ONTARIO REGIONAL TOURISM ORGANIZATION (RTO) 13
NORTHERN ONTARIO REGIONAL TOURISM ORGANIZATION (13),NORTHERN ONTARIO REGIONAL TOURISM ORGANIZATION (RTO) 13
TOWNSHIP OF OTONABEESOUTH MONAGHAN,TOWNSHIP OF OTONABEESOUTH MONAGHAN
LAUNCH LAB (EASTERN ONTARIO),LAUNCH LAB (EASTERN ONTARIO) INC
WOMEN´S CHRISTIAN ASSOCIATION,WOMEN'S CHRISTIAN ASSOCIATION
CAS NORTHHUMBERLAND,CAS NORTHUMBERLAND
YMCA NORTHUMBERLAND,CAS NORTHUMBERLAND
TWO RIVERS FAMILY HEALTH TEAM INC,TWO RIVERS FAMILY HEALTH TEAM
OWEN SOUND NORTH GREY UNION PUBLIC LIBRARY,OWEN SOUND AND NORTH GREY UNION PUBLIC LIBRARY
OWEN SOUND AND NORTH GREY UNION PUBLIC LIBRARY BOARD,OWEN SOUND AND NORTH GREY UNION PUBLIC LIBRARY
CANES FAMILY HEALTH TEAM,COCHRANE FAMILY HEALTH TEAM
THE NATION MUNICIPALITY/MUNICIPALITÃ© DE LA NATION,THE NATION MUNICIPALITY / MUNICIPALITÃ© DE LA NATION
WATERLOO REGION ROMAN CATHOLIC SEPARATE SCHOOL BOARD,YORK REGION ROMAN CATHOLIC SEPARATE SCHOOL BOARD
SKILLS/COMPETENCES CANADA ONTARIO,SKILLS / COMPETENCES CANADA ONTARIO
NIPISSING DISTRICT CATHOLIC DISTRICT SCHOOL BOARD,TIMMINS DISTRICT CATHOLIC DISTRICT SCHOOL BOARD
AGRICULTURAL ADAPTATION COUNCIL (AAC),AGRICULTURAL ADAPTATION COUNCIL
MISSISSAUGAS OF THE CREDIT FIRST NATION,MISSISSAUGAS OF THE NEW CREDIT FIRST NATION
WESLEY URBAN MINISTRIES,WESLEY URBAN MINISTRIES INC
CHIMO YOUTH AND FAMILY SERVICES,CHIMO YOUTH AND FAMILY SERVICES INC
TORONTO KIWANIS BOYS AND GIRLS CLUBS,TORONTO KIWANIS BOYS AND GIRLS CLUB
ONTCIVILLIAN COMM ON POLICE SERVICES,ONT CIVILIAN COMM ON POLICE SERVICES
CANADIAN MENTAL HEALTH ASSOCIATION PETERBOROUGH,CANADIAN MENTAL HEALTH ASSOCIATION PETERBOROUGH BRANCH
COMMUNICATION AND INFO TECH ONT,COMMUNICATIONS AND INFO TECH ONTARIO
CSC HAMILTON/NIAGARA,CSC HAMILTONNIAGARA
BOARD OF GOVENORS EXHIBITION PLACE,BOARD OF GOVENORS OF EXHIBITION PLACE
BOARD OF GOVERNORS EXHIBITION PLACE,BOARD OF GOVENORS OF EXHIBITION PLACE
UNEMPLOYED HELP CENTRE OF WINDSOR INC,UNEMPLOYED HELP CENTRE OF WINDSOR
INTEGRITY COMMISSIONER / COMMISSAIRE À L'INTÉGRITÉ,INTEGRITY COMMISSIONER / COMMISSAIRE Ã L'INTÃ©GRITÃ©
VANIER COMMUNITY SERVICES CENTRE,VANIER COMMUNITY SERVICE CENTRE
CENTRE DES SERVICES COMMUNAUTAIRES DE VANIER/VANIER COMMUNITY SERVICE CENTRE,CENTRE DES SERVICES COMMUNAUTAIRES DE VANIER / VANIER COMMUNITY SERVICE CENTRE
CENTRE DES SERVICES COMMUNAUTAIRES VANIER / VANIER COMMUNITY SERVICE CENTRE,CENTRE DES SERVICES COMMUNAUTAIRES DE VANIER / VANIER COMMUNITY SERVICE CENTRE
NORTH PARK NURSING HOME LTD,NORTH PARK NURSING HOME LIMITED
HAMILTON YOUNG WOMEN'S CHRISTIAN ASSOCIATION,HAMILTON YOUNG WOMENS CHRISTIAN ASSOCIATION
GOODWILL INDUSTRIESESSEX KENT LAMBTON INC,GOODWILL INDUSTRIES ESSEX KENT LAMBTON INC
PROJECT HOSTEL O / A YELLOW BRICK HOUSE,PROJECT HOSTEL O/A YELLOW BRICK HOUSE
PROJECT HOSTEL YELLOW BRICK HOUSE,PROJECT HOSTEL O/A YELLOW BRICK HOUSE
FACS GUELPH AND WELLINGTON COUNTY,CAS GUELPH AND WELLINGTON COUNTY
ORLÃ©ANS CUMBERLAND COMMUNITY RESOURCE CENTRE,ORLÃ©ANSCUMBERLAND COMMUNITY RESOURCE CENTRE
ORLÉANSCUMBERLAND COMMUNITY RESOURCE CENTRE,ORLÃ©ANSCUMBERLAND COMMUNITY RESOURCE CENTRE
SUDBURY YOUNG MEN'S CHRISTIAN ASSOCIATION,SUDBURY YOUNG WOMEN'S CHRISTIAN ASSOCIATION
THAMES VALLEY DISTRICT HEALTH COUN,THAMES VALLEY DISTRICT HEALTH COUNCIL
HINKSDELLCREST CENTRE,HINCKSDELLCRST CENTRE
HINCKSDELLCRST CENTRE THE,HINCKSDELLCRST CENTRE
CENTRAL WEST HEALTH INTEGRATION NETWORK,CENTRAL HEALTH INTEGRATION NETWORK
CAS DISTRICTS OF SUDBURY AND MANITULIN,CAS DISTRICTS OF SUDBURY AND MANITOULIN
CAS DIST OF SUDBURY AND MANITOULIN,CAS DISTRICTS OF SUDBURY AND MANITOULIN
CAS DIS OF SUDBURY AND MANITOULIN,CAS DISTRICTS OF SUDBURY AND MANITOULIN
ROBERTS/SMART CENTRE,ROBERTS / SMART CENTRE
CANADIAN MENTAL HEALTH ASSOCIATION SUDBURY / MANATOULIN / ASSOCIATION CANADIENNE POUR LA SANTÃ© MENTALE SUDBURY/MANITOULIN,CANADIAN MENTAL HEALTH ASSOCIATIONSUDBURY/MANITOULIN\ASSOCIATION CANADIENNE POUR LA SANTE MENTALESUDBURY/MANITOULIN
ONTARIO MUNICIPAL SOCIAL SERVICES ASSOCIATION,ONTARIO MUNICIPAL SOCIAL SERVICES ASSOCIATION (OMSSA)
CENTRE MDICO SOCIAL COMMUNAUTAIRE,CENTRE MÉDICO SOCIAL COMMUNAUTAIRE
CHILD AND FAMILY SERVICES REVIEW BOARD/CUSTODY REVIEW BOARD / COMMISSION DE RÃ©VISION DES SERVICES Ã L'ENFANCE ET Ã LA FAMILLE/COMMISSION DE RÃ©VISION DES PLACEMENTS SOUS GARDE,CHILD AND FAMILY SERVICES REVIEW BOARD/CUSTODY REVIEW BOARD / COMMISSION DE RÉVISION DES SERVICES À L'ENFANCE ET À LA FAMILLE / COMMISSION DE RÉVISION DES PLACEMENTS SOUS GARDE
THE KENSINGTON EYE INSTITUTE,KENSINGTON EYE INSTITUTE
CENTRE DE SANTÉ COMM HWN INC,CENTRE DE SANTÉ COMM HWN
SUPPORTIVE HOUSING IN PEEL / LOGEMENT DE SOUTIEN EN PEEL,SUPPORTIVE HOUSING IN PEEL/LOGEMENT DE SOUTIEN ON PEEL
DON MILLS FOUNDATION FOR SENIOR CITIZENS INC,DON MILLS FOUNDATION FOR SR CITIZENS
LABOURERS' LOCAL 625 TRAINING TRUST,LABOURERS LOCAL 625 TRAINING TRUST
CITY OF TORONTO  RALPH THORNTON COMMUNITY CENTRE,CITY OF TORONTO RALPH THORNTON COMMUNITY CENTRE
CAS HURON PERTH,CAS HURONPERTH
CENTRE DE SANTÉ COMM DU TEMISKAMING,CENTRE DE SANTÉ COMM DU TÉMISKAMING
LOWER OUTAOUIS FAMILY HEALTH TEAM / EQUIPE DE SANTE FAMILIALE DU BAS OUTAOUIS,LOWER OUTAOUIS FAMILY HEALTH TEAM/EQUIPE DE SANTE FAMILIALE DU BAS OUTAOUIS
TRANSITIONAL COUNCIL OF THE COLLEGE OF HOMEOPATHS OF ONTARIO,TRANSITIONAL COUNCIL OF THE COLLEGE OF NATUROPATHS OF ONTARIO
CSD DU NORDEST DE L'ONTARIO,DSB DU NORDEST DE L'ONTARIO
COMMUNITY LIVING PORT COLBORNEWAINFLEET,COMMUNITY LIVING PORT COLBORNE WAINFLEET
BARBRA SCHLIFER COMEMORATIVE CLINIC (BSCC),BARBRA SCHLIFER COMMEMORATIVE CLINIC (BSCC)
PROGRESS PLACE REHABILITATION CENTRE (METROPOLITAN TORONTO),PROGRESS PLACE REHABILITATION CENTRE (METROPOLITAN TORONTO) INC
GEORGE HULL CENTRE,THE GEORGE HULL CENTRE
SERVICE COMMUNAUTAIRE DE LA GÉRONTOPSYCHIATRIE DOTTAWA,SERVICE COMM DE LA GÉRONTOPSYCHIATRIE D'OTTAWA
CAS DIST OF NIPISSING AND PARRY SOUND,CAS DISTRICTS OF NIPISSING AND PARRY SOUND
ONTARIO FOOD TERMINAL BOARD / COMMISSION DU MARCHÉ DES PRODUITS ALIMENTAIRES DE L'ONTARIO,ONTARIO FOOD TERMINAL BOARD / COMMISSION DU MARCHÃ© DES PRODUITS ALIMENTAIRES DE L'ONTARIOÂ
TOWNSHIP OF DRUMMONDNORTH ELMSLEY,TOWNSHIP OF DRUMMONDNORTH ELMSLEY
LAMBTON COUNTY BE,LAMBTON COUNTY
FIRE MARSHAL'S PUBLIC SAFETY COUNCIL,FIRE MARSHAL'S PUBLIC FIRE SAFETY COUNCIL
PAY EQUITY HEARINGS TRIBUNAL / TRIBUNAL DE L'Ã©QUITÃ© SALARIALE,PAY EQUITY HEARINGS TRIBUNAL / TRIBUNAL DE L'ÉQUITÉ SALARIALE
VAUGHAN PUBLIC LIBRARIES BOARD,VAUGHAN PUBLIC LIBRARY BOARD
PARTICIPATION HOUSE PROJECT (DURHAM REGION),THE PARTICIPATION HOUSE PROJECT (DURHAM REGION)
PARTICIPATION HOUSE PROJECT (DURHAM REGION ),THE PARTICIPATION HOUSE PROJECT (DURHAM REGION)
THE OTONABEE REGION CONSERVATION AUTHORITY,OTONABEE REGION CONSERVATION AUTHORITY
ADVERTISING REVIEW BOARD / COMMISSION DE RÉVISION DE LA PUBLICITÉ,ADVERTISING REVIEW BOARD / COMMISSION DE RÃ©VISION DE LA PUBLICITÃ©
CSDC DES AURORESBORÉALES,CSDC DES AURORES BORÉALES
CSDC DES AURORES BOREALES,CSDC DES AURORES BORÉALES
CAS HALDIMANDNORFOLK,CCAC HALDIMANDNORFOLK
PARRY SOUND EAST BE,PARRY SOUND WEST BE
EXHIBITON PLACE,EXHIBITION PLACE
COMMUNITY LIVING CHATHAMKENT / INTÉGRATION COMMUNAUTAIRE CHATHAMKENT,COMMUNITY LIVING CHATHAMKENT / INTÃ©GRATION COMMUNAUTAIRE CHATHAMKENT
COMMUNITY LIVING CHATHAMKENT / INTÃ©GRATION COMMUNITAIRE CHATHAMKENT,COMMUNITY LIVING CHATHAMKENT / INTÃ©GRATION COMMUNAUTAIRE CHATHAMKENT
COMMUNITY LIVING / INTÃ©GRATION COMMUNAUTAIRE CHATHAMKENT,COMMUNITY LIVING CHATHAMKENT / INTÃ©GRATION COMMUNAUTAIRE CHATHAMKENT
LENNOX AND ADDINGTON COUNTY BE,LENNOX AND ADDINGTON COUNTY
CORPORATION OF THE TOWN OF HEARST,CORPORATION OF THE TOWN OF HANOVER
SOUTH EAST HEALTH INTEGRATION NETWORK,SOUTH WEST LOCAL HEALTH INTEGRATION NETWORK
KINGSTON ECONOMIC DEVELOPMENT CORPORATION,KINGSTON ECONOMIC DEVELOPMENT CORPORATION (KEDCO)
CAS HASTING'S,CAS HASTINGS
OFFICE OF THE FAIRNESS COMMISSIONER / BUREAU DU COMMISSAIRE À L'ÉQUITÉ,OFFICE OF THE FAIRNESS COMMISSIONER / BUREAU DU COMMISSAIRE Ã L'Ã©QUITÃ©
KITCHENER DOWNTOWN CHC,KITCHENER DOWNTOWN CHS
ALZHEIMER SOCIETIES OF ONTARIO,ALZHEIMER SOCIETY OF ONTARIO
CM HINCKS TREATEMENT CENTRE,CM HINCKS TREATMENT CENTRE
ONTARIO PAROLE AND EARNED RELEASE BOARD,ONT PAROLE AND EARNED RELEASE BOARD
PROTESTANT SEPARATE SCHOOL BOARD TOWN OF PENETANGUISHENE,PROTESTANT SEPARATE SCHOOL BOARD OF THE TOWN OF PENETANGUISHENE
ONTARIO AGRI FOOD TECHNOLOGIES,ONTARIO AGRIFOOD TECHNOLOGIES
NORTH LAMBTON CHC,NORTH LAMBTON CHS
JD GRIFFIN CENTRE,GRIFFIN CENTRE
PINECRESTQUEENSWAY HCS,PINECRESTQUEENSWAY CHC
CAN MENTAL HEALTH ASSOCIATION METRO TORONTO,CDN MENTAL HEALTH ASSOCIATION METRO TORONTO
CANADIAN MENTAL HEATLH ASSOCIATION METRO TORONTO,CANADIAN MENTAL HEALTH ASSOCIATION METROPOLITAN TORONTO
CCAC KINGS'N/FRONTENAC /LENNOX/ADDING'N,CCAC KINGS'N/FRONTENAC/LENNOX/ADDING'N
CENTRE FOR INDEPENDENT LIVING IN TORONTO (CILT),CENTRE FOR INDEPENDENT LIVING IN TORONTO
YORK REGION NEIGHBOURHOOD SERVICES,YORK REGION NEIGHBOURHOOD SERVICES INC
ALZHEIMER SOCIETY DURHAM REGION,ALZHEIMER SOCIETY OF DURHAM REGION
ONT FARM PRODUCTS MARKETING COMM,ONTFARM PRODUCTS MARKETING COMM
FARM PRODUCTS MARKETING COMM,ONTFARM PRODUCTS MARKETING COMM
ACCOMMODATION INFORMATION AND SUPPORT INC,ACCOMMODATION INFO AND SUPPORT INC
IMMIGRANT ACCESS FUND OF CANADA INC,IMMIGRANT ACCESS FUND OF CANADA
INVASIVE SPECIES CENTRE,INVASIVE SPECIES CENTRE (ISC)
HASTINGS AND PREDWARD COHLTH UNIT,HASTINGS AND PR EDWARD CO HEALTH UNIT
CITY OF TORONTO ST LAWRENCE CENTRE FOR THE ARTS[19],CITY OF TORONTO ST LAWRENCE CENTRE FOR THE ARTS
CITY OF TORONTO ST LAWRENCE CENTRE FOR THE ARTS[20],CITY OF TORONTO ST LAWRENCE CENTRE FOR THE ARTS
MUNICIPALITY OF DUTTONDUNWICH,MUNICIPALITY OF DUTTONDUNWICH
ON TRACK CAREER AND EMPLOYMENT SERVICES INC,ONTRACK CAREER AND EMPLOYMENT SERVICES INC
ONTRACK CAREER AND EMPLOYMENT SERVICES,ONTRACK CAREER AND EMPLOYMENT SERVICES INC
COUNTRY ROADS CHC,COUNTY ROADS CHC
FIREFLY PHYSICAL EMOTIONAL DEVELOPMENTAL AND COMMUNITY SERVICES / FIREFLY SERVICES PHYSIQUES Ã©MOTIFS COMMUNAUTAIRES ET POUR LE DÃ©VELOPPEMENT,FIREFLY PHYSICAL EMOTIONAL DEVELOPMENTAL AND COMMUNITY SERVICES / FIREFLY SERVICES PHYSIQUE Ã©MOTIFS COMMUNAUTAIRES ET POUR LE DÃ©VELOPPEMENT
MICHENER INSTIT FOR APP HEALTH SCIENCE,MICHENER INSTIT FOR APPHLTH SCIENCE
LAC DES MILLE LACS FIRST NATION,LAC DES MILLES LACS FIRST NATION
JAMES BAY LOWLANDS DSA,JAMES BAY LOWLANDS SSB
ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRES CATHOLIQUES,ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRE CATHOLIQUES
L'ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRE CATHOLIQUES,ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRE CATHOLIQUES
ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRES CATHOLIQUES (O/A AFOCSC),ASSOCIATION FRANCOONTARIENNE DES CONSEILS SCOLAIRE CATHOLIQUES
VILLA MARCONI LONG TERM CARE,VILLA MARCONI LONGTERM CARE
FIFE HOUSE FOUNDATION,FIFE HOUSE FOUNDATION INC
CORPORATION OF THE TOWN OF KINGSVILLE,CORPORATION OF THE TOWN OF OAKVILLE
CANADIAN MENTAL HEALTH ASSOCIATION PEEL BRANCH / ASSOCIATION CANADIENNE POUR LA SANTÉ MENTALE L'AGENCE PEEL,CANADIAN MENTAL HEALTH ASSOCIATION PEEL BRANCH / ASSOCIATION CANADIENNE POUR LA SANTÃ© MENTALE L'AGENCE PEEL
TRELLIS MENTAL HEALTH AND DEVELOPMENTAL SERVICES / SANTÉ DE TRELLIS MENTALE ET DES SERVICES DE DÉVELOPPEMENT,TRELLIS MENTAL HEALTH AND DEVELOPMENTAL SERVICES / SANTÃ© DE TREILLIS MENTALE ET DES SERVICES DE DÃ©VELOPPEMENT
CORPORATION OF THE TOWN OF AYLMER,CORPORATION OF THE TOWN OF HANOVER
ONT COUNCIL OF REGENTS,COUNCIL OF REGENTS
GOODWILL INDUSTRIES OF TORONTO EASTERN CENTRAL NORTHERN ONTARIO,GOODWILL INDUSTRIES OF TORONTO EASTERN CENTRAL AND NORTHERN ONTARIO
ENVIRONMENTAL ASSMT AND APPEAL BOARD,ENVIRONMENT ASSMT AND APPEAL BOARD
